"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,1,1,2,6.43,0,543.88,0,0.05,0,17.06,0,0,0,0,0,0,0,0,0
1979,1,1,3,3545.85,0,249.89,0,28.37,0,7.84,0,0,0,0,0,0,0,0,0
1979,1,1,4,5132.5,0,6.86,0,41.06,0,0.22,0,0,0,0,0,0,0,0,0
1979,1,1,5,988.22,0,0.47,0,7.91,0,0.01,0,0,0,0,0,0,0,0,0
1979,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,2,0,0,191.72,0,0,0,12.78,0,0,0,0,0,0,0,0,0
1979,1,4,3,0,0,78.7,0,0,0,5.25,0,0,0,0,0,0,0,0,0
1979,1,4,4,12.17,0,8.54,0,0.21,0,0.57,0,0,0,0,0,0,0,0,0
1979,1,4,5,0,0,0.43,0,0,0,0.03,0,0,0,0,0,0,0,0,0
1979,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,1,2,3.7,0,162.62,0,0.03,0,5.1,0,0,0,0,0,0,0,0,0
1979,2,1,3,276.28,0,70.31,0,2.21,0,2.21,0,0,0,0,0,0,0,0,0
1979,2,1,4,2396.66,0,2.14,0,19.17,0,0.07,0,0,0,0,0,0,0,0,0
1979,2,1,5,1042.69,0,0.19,0,8.34,0,0.01,0,0,0,0,0,0,0,0,0
1979,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
