"fishery","fisheryShortName"
1,"ALASKA T"
2,"TAK YAK N"
3,"NORTH T"
4,"CENTRL T"
5,"WCVI T"
6,"N FALCON T"
7,"S FALCON T"
8,"GEO ST T"
9,"ALASKA N"
10,"NORTH N"
11,"CENTRL N"
12,"WCVI N"
13,"J DE F N"
14,"PGSDN N"
15,"PGSDO N"
16,"WASH CST N"
17,"TCOL R N"
18,"TAK TBR N"
19,"TBC TBR FN"
20,"TCENTRAL FN"
21,"TGEO ST FN"
22,"TFRAS FN"
23,"TPS FN"
24,"TWAC FN"
25,"JNST N"
26,"FRASER N"
27,"ALASKA S"
28,"CBC S"
29,"NBC AABM S"
30,"NBC ISBM S"
31,"WCVI AABM S"
32,"WCVI ISBM S"
33,"N FALCON S"
34,"S FALCON S"
35,"PGSDN S"
36,"PGSDO S"
37,"TYK YAK FN"
38,"GEO ST S"
39,"BC JF S"
40,"TCOL R S"
41,"TAK TBR S"
42,"TNORTH FS"
43,"TCENTRAL FS"
44,"TWCVI FS"
45,"TFRASER FS"
46,"TGS FS"
47,"TPS FS"
48,"TSF FS"
