"fishery","year","obs_catch_nom"
1,1979,337672
1,1980,303643
1,1981,248782
1,1982,241938
1,1983,269821
1,1984,235622
1,1985,211933
1,1986,231649
1,1987,231051
1,1988,217088
1,1989,224182
1,1990,263528
1,1991,231803
1,1992,162617
1,1993,212350
1,1994,177146
1,1995,115072
1,1996,107581
1,1997,221944
1,1998,183489
1,1999,132741
1,2000,133963
1,2001,128692
1,2002,298132
1,2003,307380
1,2004,321876
1,2005,304891
1,2006,263980
1,2007,240474
1,2008,126352
1,2009,159126
1,2010,177982
1,2011,220787
1,2012,191553
1,2013,134580
1,2014,340015
1,2015,251086
1,2016,266172
1,2017,123417
3,1979,147576
3,1980,157198
3,1981,153065
3,1982,173472
3,1983,162837
3,1984,185134
3,1985,165845
3,1986,175715
3,1987,177457
3,1988,152369
3,1989,207679
3,1990,154109
3,1991,194018
3,1992,142340
3,1993,161686
3,1994,164581
3,1995,56857
3,1996,8
3,1997,83261
3,1998,109072
3,1999,54097
3,2000,9948
3,2001,12934
3,2002,102731
3,2003,140497
3,2004,167508
3,2005,174806
3,2006,151485
3,2007,83235
3,2008,52147
3,2009,75470
3,2010,90213
3,2011,74660
3,2012,80257
3,2013,69264
3,2014,172001
3,2015,106703
3,2016,147381
3,2017,97730
4,1979,109261
4,1980,98059
4,1981,78659
4,1982,75767
4,1983,105166
4,1984,83862
4,1985,28814
4,1986,52559
4,1987,64015
4,1988,31103
4,1989,19092
4,1990,27313
4,1991,27853
4,1992,42311
4,1993,24780
4,1994,20155
4,1995,4681
4,1996,0
4,1997,10520
4,1998,4317
4,1999,2346
4,2000,85
4,2001,453
4,2002,611
4,2003,719
4,2004,316
4,2005,24
4,2006,0
4,2007,0
4,2008,9
4,2009,0
4,2010,0
4,2011,0
4,2012,0
4,2013,0
4,2014,0
4,2015,0
4,2016,0
4,2017,0
5,1979,477222
5,1980,486303
5,1981,423266
5,1982,538510
5,1983,395636
5,1984,471294
5,1985,345937
5,1986,350227
5,1987,378931
5,1988,408668
5,1989,203751
5,1990,297858
5,1991,203035
5,1992,340146
5,1993,277033
5,1994,150039
5,1995,81454
5,1996,4
5,1997,52688
5,1998,5140
5,1999,7434
5,2000,64547
5,2001,79668
5,2002,126383
5,2003,146736
5,2004,171166
5,2005,148798
5,2006,108978
