"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,1,1,2,2.31,0,361.54,0,0.02,0,11.34,0,0,0,0,0,0,0,0,0
1979,1,1,3,2129.47,0,163.87,0,17.04,0,5.14,0,0,0,0,0,0,0,0,0
1979,1,1,4,3664.58,0,4.66,0,29.32,0,0.15,0,0,0,0,0,0,0,0,0
1979,1,1,5,1332.52,0,0.45,0,10.66,0,0.01,0,0,0,0,0,0,0,0,0
1979,1,2,2,0,0,192.73,0,0,0,12.85,0,0,0,0,0,0,0,0,0
1979,1,2,3,75.83,0,83.35,0,1.29,0,5.56,0,0,0,0,0,0,0,0,0
1979,1,2,4,115.64,0,7.93,0,1.97,0,0.53,0,0,0,0,0,0,0,0,0
1979,1,2,5,3.39,0,0.44,0,0.06,0,0.03,0,0,0,0,0,0,0,0,0
1979,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,2,201.37,0,18.12,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,3,212.95,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,4,0,215.24,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,5,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,2,0,0,25.89,0,0,0,7.58,0,0,0,0,0,0,0,0,0
1979,1,18,3,334.83,0,7.04,0,12.05,0,2.06,0,0,0,0,0,0,0,0,0
1979,1,18,4,613.92,0,0.2,0,22.1,0,0.06,0,0,0,0,0,0,0,0,0
1979,1,18,5,252.26,0,0.02,0,9.08,0,0.01,0,0,0,0,0,0,0,0,0
1979,1,19,2,0,0,44.16,0,0,0,12.92,0,0,0,0,0,0,0,0,0
1979,1,19,3,0,0,0.15,0,0,0,0.04,0,0,0,0,0,0,0,0,0
1979,1,19,4,1.39,0,0.01,0,0.05,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,1,2,3435.48,0,2165.21,0,27.48,0,67.93,0,0,0,0,0,0,0,0,0
1979,2,1,3,13124.79,0,1292.73,0,105,0,40.56,0,0,0,0,0,0,0,0,0
1979,2,1,4,6845.35,0,31.37,0,54.76,0,0.98,0,0,0,0,0,0,0,0,0
1979,2,1,5,4675.9,0,1.93,0,37.41,0,0.06,0,0,0,0,0,0,0,0,0
1979,2,2,2,3409.36,0,1154.23,0,57.96,0,76.95,0,0,0,0,0,0,0,0,0
1979,2,2,3,2093.25,0,657.54,0,35.59,0,43.84,0,0,0,0,0,0,0,0,0
1979,2,2,4,2983.42,0,53.41,0,50.72,0,3.56,0,0,0,0,0,0,0,0,0
1979,2,2,5,1651.51,0,1.91,0,28.08,0,0.13,0,0,0,0,0,0,0,0,0
1979,2,4,2,193.44,0,2996.51,0,3.29,0,199.77,0,0,0,0,0,0,0,0,0
1979,2,4,3,170.95,0,1570.28,0,2.91,0,104.69,0,0,0,0,0,0,0,0,0
1979,2,4,4,122.57,0,284.57,0,2.08,0,18.97,0,0,0,0,0,0,0,0,0
1979,2,4,5,0,0,25,0,0,0,1.67,0,0,0,0,0,0,0,0,0
1979,2,7,2,1214.83,0,108.52,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,7,3,323.11,0,14.96,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,7,4,0,286.18,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,7,5,0,89.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,18,2,418.01,0,155.03,0,15.05,0,45.38,0,0,0,0,0,0,0,0,0
1979,2,18,3,1414.98,0,55.54,0,50.94,0,16.25,0,0,0,0,0,0,0,0,0
1979,2,18,4,327.92,0,1.35,0,11.81,0,0.39,0,0,0,0,0,0,0,0,0
1979,2,18,5,70.85,0,0.08,0,2.55,0,0.02,0,0,0,0,0,0,0,0,0
1979,2,19,2,23118.11,0,264.46,0,832.25,0,77.4,0,0,0,0,0,0,0,0,0
1979,2,19,3,1077.52,0,1.2,0,38.79,0,0.35,0,0,0,0,0,0,0,0,0
1979,2,19,4,912.67,0,0.05,0,32.86,0,0.01,0,0,0,0,0,0,0,0,0
1979,2,19,5,414.96,0,0,0,14.94,0,0,0,0,0,0,0,0,0,0,0
1979,2,20,2,4.44,0,19.56,0,0.31,0,10.97,0,0,0,0,0,0,0,0,0
1979,2,20,3,4.17,0,0.05,0,0.29,0,0.03,0,0,0,0,0,0,0,0,0
1979,2,20,4,2.15,0,0.01,0,0.15,0,0,0,0,0,0,0,0,0,0,0
1979,2,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,1,2,0,0,1153.33,0,0,0,36.18,0,0,0,0,0,0,0,0,0
1979,3,1,3,413.23,0,1022.89,0,3.31,0,32.09,0,0,0,0,0,0,0,0,0
1979,3,1,4,10232.91,0,41.5,0,81.86,0,1.3,0,0,0,0,0,0,0,0,0
1979,3,1,5,2330.87,0,2.58,0,18.65,0,0.08,0,0,0,0,0,0,0,0,0
1979,3,2,2,677.07,0,614.82,0,11.51,0,40.99,0,0,0,0,0,0,0,0,0
1979,3,2,3,0,0,520.28,0,0,0,34.69,0,0,0,0,0,0,0,0,0
1979,3,2,4,4494.21,0,70.65,0,76.4,0,4.71,0,0,0,0,0,0,0,0,0
1979,3,2,5,3073.47,0,2.56,0,52.25,0,0.17,0,0,0,0,0,0,0,0,0
1979,3,4,2,0,0,1596.13,0,0,0,106.41,0,0,0,0,0,0,0,0,0
1979,3,4,3,0,0,1242.5,0,0,0,82.83,0,0,0,0,0,0,0,0,0
1979,3,4,4,1898.07,0,376.42,0,32.27,0,25.09,0,0,0,0,0,0,0,0,0
1979,3,4,5,407.87,0,33.5,0,6.93,0,2.23,0,0,0,0,0,0,0,0,0
1979,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,7,4,0,810.01,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,18,2,0,0,82.58,0,0,0,24.17,0,0,0,0,0,0,0,0,0
1979,3,18,3,0,0,43.94,0,0,0,12.86,0,0,0,0,0,0,0,0,0
1979,3,18,4,134.64,0,1.78,0,4.85,0,0.52,0,0,0,0,0,0,0,0,0
1979,3,18,5,0,0,0.11,0,0,0,0.03,0,0,0,0,0,0,0,0,0
1979,3,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,20,2,0,0,10.42,0,0,0,5.85,0,0,0,0,0,0,0,0,0
1979,3,20,3,0,0,0.04,0,0,0,0.02,0,0,0,0,0,0,0,0,0
1979,3,20,4,33.26,0,0.01,0,2.29,0,0.01,0,0,0,0,0,0,0,0,0
1979,3,20,5,6.35,0,0.01,0,0.44,0,0,0,0,0,0,0,0,0,0,0
1979,4,1,2,0,0,5718.43,0,0,0,179.4,0,0,0,0,0,0,0,0,0
1979,4,1,3,47.37,0,4787.77,0,0.38,0,150.2,0,0,0,0,0,0,0,0,0
1979,4,1,4,781.83,0,118.1,0,6.25,0,3.7,0,0,0,0,0,0,0,0,0
1979,4,1,5,0,0,3.31,0,0,0,0.1,0,0,0,0,0,0,0,0,0
1979,4,2,2,230.35,0,3048.39,0,3.92,0,203.23,0,0,0,0,0,0,0,0,0
1979,4,2,3,956.47,0,2435.26,0,16.26,0,162.35,0,0,0,0,0,0,0,0,0
1979,4,2,4,543.67,0,201.08,0,9.24,0,13.41,0,0,0,0,0,0,0,0,0
1979,4,2,5,69.77,0,3.28,0,1.19,0,0.22,0,0,0,0,0,0,0,0,0
1979,4,4,2,0,0,7913.91,0,0,0,527.59,0,0,0,0,0,0,0,0,0
1979,4,4,3,38758.06,0,5815.71,0,658.89,0,387.71,0,0,0,0,0,0,0,0,0
1979,4,4,4,43918.63,0,1071.29,0,746.62,0,71.42,0,0,0,0,0,0,0,0,0
1979,4,4,5,135.8,0,42.95,0,2.31,0,2.86,0,0,0,0,0,0,0,0,0
1979,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,18,2,0,0,409.45,0,0,0,119.84,0,0,0,0,0,0,0,0,0
1979,4,18,3,0,0,205.68,0,0,0,60.2,0,0,0,0,0,0,0,0,0
1979,4,18,4,130.3,0,5.07,0,4.69,0,1.48,0,0,0,0,0,0,0,0,0
1979,4,18,5,0,0,0.14,0,0,0,0.04,0,0,0,0,0,0,0,0,0
1979,4,19,2,575.81,0,698.46,0,20.73,0,204.43,0,0,0,0,0,0,0,0,0
1979,4,19,3,0,0,4.46,0,0,0,1.31,0,0,0,0,0,0,0,0,0
1979,4,19,4,260.79,0,0.18,0,9.39,0,0.05,0,0,0,0,0,0,0,0,0
1979,4,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,20,2,0,0,51.66,0,0,0,28.98,0,0,0,0,0,0,0,0,0
1979,4,20,3,945.98,0,0.2,0,65.27,0,0.11,0,0,0,0,0,0,0,0,0
1979,4,20,4,769.51,0,0.03,0,53.1,0,0.02,0,0,0,0,0,0,0,0,0
1979,4,20,5,2.12,0,0.01,0,0.15,0,0,0,0,0,0,0,0,0,0,0
1979,5,1,2,2.34,0,831.21,0,0.02,0,26.08,0,0,0,0,0,0,0,0,0
1979,5,1,3,5498.76,0,1360.62,0,43.99,0,42.69,0,0,0,0,0,0,0,0,0
1979,5,1,4,4037.29,0,7.09,0,32.3,0,0.22,0,0,0,0,0,0,0,0,0
1979,5,1,5,1727.86,0,0.59,0,13.82,0,0.02,0,0,0,0,0,0,0,0,0
1979,5,2,2,11.69,0,443.1,0,0.2,0,29.54,0,0,0,0,0,0,0,0,0
1979,5,2,3,3224.85,0,692.07,0,54.82,0,46.14,0,0,0,0,0,0,0,0,0
1979,5,2,4,1000.08,0,12.06,0,17,0,0.8,0,0,0,0,0,0,0,0,0
1979,5,2,5,445.64,0,0.59,0,7.58,0,0.04,0,0,0,0,0,0,0,0,0
1979,5,4,2,36.92,0,1150.33,0,0.63,0,76.69,0,0,0,0,0,0,0,0,0
1979,5,4,3,3184.45,0,1652.75,0,54.14,0,110.18,0,0,0,0,0,0,0,0,0
1979,5,4,4,748.68,0,64.28,0,12.73,0,4.29,0,0,0,0,0,0,0,0,0
1979,5,4,5,129.83,0,7.71,0,2.21,0,0.51,0,0,0,0,0,0,0,0,0
1979,5,7,2,30.38,0,41.66,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,7,3,1449.58,0,15.74,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,7,4,0,198.76,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,7,5,0,120.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,18,2,0,0,59.52,0,0,0,17.42,0,0,0,0,0,0,0,0,0
1979,5,18,3,256.75,0,58.45,0,9.24,0,17.11,0,0,0,0,0,0,0,0,0
1979,5,18,4,174.73,0,0.3,0,6.29,0,0.09,0,0,0,0,0,0,0,0,0
1979,5,18,5,54.53,0,0.03,0,1.96,0,0.01,0,0,0,0,0,0,0,0,0
1979,5,19,2,0,0,101.53,0,0,0,29.71,0,0,0,0,0,0,0,0,0
1979,5,19,3,107.77,0,1.27,0,3.88,0,0.37,0,0,0,0,0,0,0,0,0
1979,5,19,4,13.15,0,0.01,0,0.47,0,0,0,0,0,0,0,0,0,0,0
1979,5,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,1,2,3.27,0,1162.23,0,0.03,0,36.46,0,0,0,0,0,0,0,0,0
1979,6,1,3,7698.54,0,1904.94,0,61.59,0,59.76,0,0,0,0,0,0,0,0,0
1979,6,1,4,5665.07,0,9.94,0,45.32,0,0.31,0,0,0,0,0,0,0,0,0
1979,6,1,5,2429.87,0,0.84,0,19.44,0,0.03,0,0,0,0,0,0,0,0,0
1979,6,2,2,16.34,0,619.56,0,0.28,0,41.3,0,0,0,0,0,0,0,0,0
1979,6,2,3,4514.96,0,968.93,0,76.75,0,64.6,0,0,0,0,0,0,0,0,0
1979,6,2,4,1403.3,0,16.93,0,23.86,0,1.13,0,0,0,0,0,0,0,0,0
1979,6,2,5,626.7,0,0.83,0,10.65,0,0.06,0,0,0,0,0,0,0,0,0
1979,6,4,2,51.62,0,1608.45,0,0.88,0,107.23,0,0,0,0,0,0,0,0,0
1979,6,4,3,4458.39,0,2313.93,0,75.79,0,154.26,0,0,0,0,0,0,0,0,0
1979,6,4,4,1050.54,0,90.19,0,17.86,0,6.01,0,0,0,0,0,0,0,0,0
1979,6,4,5,182.58,0,10.85,0,3.1,0,0.72,0,0,0,0,0,0,0,0,0
1979,6,7,2,42.48,0,58.25,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,7,3,2029.48,0,22.04,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,7,4,0,278.9,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,7,5,0,169.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,18,2,0,0,83.22,0,0,0,24.36,0,0,0,0,0,0,0,0,0
1979,6,18,3,359.46,0,81.84,0,12.94,0,23.95,0,0,0,0,0,0,0,0,0
1979,6,18,4,245.19,0,0.43,0,8.83,0,0.13,0,0,0,0,0,0,0,0,0
1979,6,18,5,76.69,0,0.04,0,2.76,0,0.01,0,0,0,0,0,0,0,0,0
1979,6,19,2,0,0,141.96,0,0,0,41.55,0,0,0,0,0,0,0,0,0
1979,6,19,3,150.89,0,1.78,0,5.43,0,0.52,0,0,0,0,0,0,0,0,0
1979,6,19,4,18.45,0,0.02,0,0.66,0,0,0,0,0,0,0,0,0,0,0
1979,6,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,1,2,0,0,681.7,0,0,0,21.39,0,0,0,0,0,0,0,0,0
1979,7,1,3,352.81,0,786.19,0,2.82,0,24.66,0,0,0,0,0,0,0,0,0
1979,7,1,4,4239.8,0,13.73,0,33.92,0,0.43,0,0,0,0,0,0,0,0,0
1979,7,1,5,4531.13,0,2.76,0,36.25,0,0.09,0,0,0,0,0,0,0,0,0
1979,7,2,2,0,0,363.4,0,0,0,24.23,0,0,0,0,0,0,0,0,0
1979,7,2,3,3330.73,0,399.89,0,56.62,0,26.66,0,0,0,0,0,0,0,0,0
1979,7,2,4,1892.74,0,23.38,0,32.18,0,1.56,0,0,0,0,0,0,0,0,0
1979,7,2,5,2168.25,0,2.73,0,36.86,0,0.18,0,0,0,0,0,0,0,0,0
1979,7,4,2,0,0,943.43,0,0,0,62.9,0,0,0,0,0,0,0,0,0
1979,7,4,3,0,0,954.98,0,0,0,63.67,0,0,0,0,0,0,0,0,0
1979,7,4,4,59.63,0,124.59,0,1.01,0,8.31,0,0,0,0,0,0,0,0,0
1979,7,4,5,225.08,0,35.76,0,3.83,0,2.38,0,0,0,0,0,0,0,0,0
1979,7,7,2,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,7,3,1617.04,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,7,4,0,509.48,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,7,5,0,233.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,18,2,0,0,48.81,0,0,0,14.29,0,0,0,0,0,0,0,0,0
1979,7,18,3,147,0,33.77,0,5.29,0,9.89,0,0,0,0,0,0,0,0,0
1979,7,18,4,837.49,0,0.59,0,30.15,0,0.17,0,0,0,0,0,0,0,0,0
1979,7,18,5,701.59,0,0.12,0,25.26,0,0.03,0,0,0,0,0,0,0,0,0
1979,7,19,2,701.98,0,83.26,0,25.27,0,24.37,0,0,0,0,0,0,0,0,0
1979,7,19,3,740.47,0,0.73,0,26.66,0,0.21,0,0,0,0,0,0,0,0,0
1979,7,19,4,244.44,0,0.02,0,8.8,0,0.01,0,0,0,0,0,0,0,0,0
1979,7,19,5,1110.86,0,0,0,39.99,0,0,0,0,0,0,0,0,0,0,0
1979,7,20,2,0,0,6.16,0,0,0,3.45,0,0,0,0,0,0,0,0,0
1979,7,20,3,0,0,0.03,0,0,0,0.02,0,0,0,0,0,0,0,0,0
1979,7,20,4,1.04,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0
1979,7,20,5,3.51,0,0.01,0,0.24,0,0,0,0,0,0,0,0,0,0,0
1979,8,1,2,0,0,1649.53,0,0,0,51.75,0,0,0,0,0,0,0,0,0
1979,8,1,3,364.76,0,1181.63,0,2.92,0,37.07,0,0,0,0,0,0,0,0,0
1979,8,1,4,314.06,0,4.38,0,2.51,0,0.14,0,0,0,0,0,0,0,0,0
1979,8,1,5,24.35,0,0.04,0,0.19,0,0,0,0,0,0,0,0,0,0,0
1979,8,2,2,58.56,0,879.33,0,1,0,58.62,0,0,0,0,0,0,0,0,0
1979,8,2,3,2045.69,0,601.03,0,34.78,0,40.07,0,0,0,0,0,0,0,0,0
