"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,1,3,2,0,0,139.43,0,0,0,9.3,0,0,0,0,0,0,0,0,0
1979,1,3,3,0,0,56.46,0,0,0,3.76,0,0,0,0,0,0,0,0,0
1979,1,3,4,2.96,0,6.35,0,0.05,0,0.42,0,0,0,0,0,0,0,0,0
1979,1,3,5,0,0,0.45,0,0,0,0.03,0,0,0,0,0,0,0,0,0
1979,1,5,2,0,0,318.22,0,0,0,21.21,0,0,0,0,0,0,0,0,0
1979,1,5,3,25.76,0,106.41,0,0.44,0,7.09,0,0,0,0,0,0,0,0,0
1979,1,5,4,27.25,0,18.49,0,0.46,0,1.23,0,0,0,0,0,0,0,0,0
1979,1,5,5,0,0,2.96,0,0,0,0.2,0,0,0,0,0,0,0,0,0
1979,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,8,2,26.23,0,37.47,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,8,3,7.36,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,8,4,0,16.06,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,8,5,0,21.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,9,2,2.31,0,68.31,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,9,3,0,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
