"fishery","year","obs_catch_nom"
1,1979,337672
1,1980,303643
1,1981,248782
1,1982,241938
1,1983,269821
1,1984,235622
1,1985,211933
1,1986,231649
1,1987,231051
1,1988,217088
1,1989,224182
1,1990,263528
1,1991,231803
1,1992,162617
1,1993,212350
1,1994,177146
1,1995,115072
1,1996,107581
1,1997,221944
1,1998,183489
1,1999,132741
1,2000,133963
1,2001,128692
1,2002,298132
1,2003,307380
1,2004,321876
1,2005,304891
1,2006,263980
1,2007,240474
1,2008,126352
1,2009,159126
1,2010,177982
1,2011,220787
1,2012,191553
1,2013,134580
1,2014,340015
1,2015,251086
1,2016,266172
2,1979,147576
2,1980,157198
2,1981,153065
2,1982,173472
2,1983,162837
2,1984,185134
2,1985,165845
2,1986,175715
2,1987,177457
2,1988,152369
2,1989,207679
2,1990,154109
2,1991,194018
2,1992,142340
2,1993,161686
2,1994,164581
2,1995,56857
2,1996,8
2,1997,83261
2,1998,109072
2,1999,54097
2,2000,9948
2,2001,12934
2,2002,102731
2,2003,140497
2,2004,167508
2,2005,174806
2,2006,151485
2,2007,83235
2,2008,52147
2,2009,75470
2,2010,90213
2,2011,74660
2,2012,80257
2,2013,69264
2,2014,172001
2,2015,106703
2,2016,147381
3,1979,109261
3,1980,98059
3,1981,78659
3,1982,75767
3,1983,105166
3,1984,83862
3,1985,28814
3,1986,52559
3,1987,64015
3,1988,31103
3,1989,19092
3,1990,27313
3,1991,27853
3,1992,42311
3,1993,24780
3,1994,20155
3,1995,4681
3,1996,0
3,1997,10520
3,1998,4317
3,1999,2346
3,2000,85
3,2001,453
3,2002,611
3,2003,719
3,2004,316
3,2005,24
3,2006,0
3,2007,0
3,2008,9
3,2009,0
3,2010,0
3,2011,0
3,2012,0
3,2013,0
3,2014,0
3,2015,0
3,2016,0
3,2017,0
4,1979,477222
4,1980,486303
4,1981,423266
4,1982,538510
4,1983,395636
4,1984,471294
4,1985,345937
4,1986,350227
4,1987,378931
4,1988,408668
4,1989,203751
4,1990,297858
4,1991,203035
4,1992,340146
4,1993,277033
4,1994,150039
4,1995,81454
4,1996,4
4,1997,52688
4,1998,5140
4,1999,7434
4,2000,64547
4,2001,79668
4,2002,126383
4,2003,146736
4,2004,171166
4,2005,148798
4,2006,108978
4,2007,94291
4,2008,95170
