stock	stock acro	stock name	stock group	stock group order
1	AKS	Alaska South SE	AK	1
2	NTH	North/Centr	Canada	2
3	FRE	Fraser Early	FR-early	3
4	FRL	Fraser Late	FR-late	4
5	RBH	WCVI Hatchery	Canada	2
6	RBT	WCVI Natural	Canada	2
7	GSQ	Georgia St. Upper	Canada	2
8	GST	Georgia St. Lwr Nat	Canada	2
9	GSH	Georgia St. Lwr Hat	Canada	2
10	NKF	Nooksack Fall	SUS	5
11	PSF	Pgt Sd Fing	SUS	5
12	PSN	Pgt Sd NatF	SUS	5
13	PSY	Pgt Sd Year	SUS	5
14	NKS	Nooksack Spring	SUS	5
15	SKG	Skagit Wild	SUS	5
16	STL	Stillaguamish Wild	SUS	5
17	SNO	Snohomish Wild	SUS	5
18	WCH	WA Coastal Hat	SUS	5
19	URB	UpRiver Brights	SUS	5
20	SPR	Spring Creek Hat	SUS	5
21	LRH	Lwr Bonneville Hat	SUS	5
22	CWF	Fall Cowlitz Hat	SUS	5
23	LRW	Lewis R Wild	SUS	5
24	WSH	Willamette R	SUS	5
25	CWS	Spr Cowlitz Hat	SUS	5
26	SUM	Col R Summer	SUS	5
27	ORC	Oregon Coast	SUS	5
28	WCN	WA Coastal Wild	SUS	5
29	LYF	Lyons Ferry	SUS	5
30	MCB	Mid Col R Brights	SUS	5
